,0
118,08-17-1991
119,08-18-1991
120,08-19-1991
121,08-20-1991
122,08-21-1991
123,08-22-1991
124,08-23-1991
125,08-24-1991
126,08-25-1991
127,08-26-1991
128,08-27-1991
129,08-28-1991
130,08-29-1991
131,08-30-1991
132,08-31-1991
133,09-01-1991
134,09-02-1991
135,09-03-1991
136,10-10-1989
137,10-11-1989
138,10-12-1989
139,10-13-1989
140,10-14-1989
141,10-15-1989
142,10-16-1989
143,10-17-1989
144,10-18-1989
145,10-19-1989
146,10-20-1989
147,10-21-1989
148,10-22-1989
149,10-23-1989
150,10-24-1989
151,10-25-1989
152,10-26-1989
153,10-27-1989
154,10-28-1989
155,10-29-1989
156,10-30-1989
157,10-31-1989
158,11-01-1989
159,11-02-1989
160,11-03-1989
161,11-04-1989
162,11-05-1989
163,11-06-1989
164,11-07-1989
165,11-08-1989
166,11-09-1989
167,11-10-1989
168,11-11-1989
169,11-12-1989
170,11-13-1989
171,11-14-1989
172,11-15-1989
173,11-16-1989
174,11-17-1989
175,11-18-1989
176,11-19-1989
177,11-20-1989
178,11-21-1989
179,11-22-1989
180,11-23-1989
181,11-24-1989
182,11-25-1989
183,11-26-1989
184,11-27-1989
185,11-28-1989
186,11-29-1989
187,11-30-1989
188,12-01-1989
189,12-02-1989
190,12-03-1989
191,12-04-1989
192,12-05-1989
193,12-06-1989
194,12-07-1989
195,12-08-1989
196,12-09-1989
197,12-10-1989
198,12-11-1989
199,12-12-1989
200,12-13-1989
201,12-14-1989
202,12-15-1989
203,12-16-1989
204,12-17-1989
205,12-18-1989
206,12-19-1989
207,12-20-1989
208,12-21-1989
209,12-22-1989
210,12-23-1989
211,12-24-1989
212,12-25-1989
213,12-26-1989
214,12-27-1989
215,12-28-1989
216,12-29-1989
217,12-30-1989
218,12-31-1989
219,01-01-1990
220,01-02-1990
221,01-03-1990
222,01-04-1990
223,01-05-1990
224,01-06-1990
225,01-07-1990
226,01-08-1990
227,01-09-1990
228,01-10-1990
229,01-11-1990
230,01-12-1990
231,01-13-1990
232,07-21-1990
233,07-22-1990
234,07-23-1990
235,07-24-1990
236,07-25-1990
237,07-26-1990
238,07-27-1990
239,07-28-1990
240,07-29-1990
241,07-30-1990
242,07-31-1990
243,08-01-1990
244,08-02-1990
245,08-03-1990
246,08-04-1990
247,08-05-1990
248,08-06-1990
249,08-07-1990
250,08-08-1990
251,08-09-1990
252,08-10-1990
253,08-11-1990
254,08-12-1990
255,08-13-1990
256,08-14-1990
257,08-15-1990
258,08-16-1990
259,08-17-1990
260,08-18-1990
261,08-19-1990
262,08-20-1990
263,08-21-1990
264,08-22-1990
265,08-23-1990
266,08-24-1990
267,08-25-1990
268,08-26-1990
269,08-27-1990
270,08-28-1990
271,08-29-1990
272,08-30-1990
273,08-31-1990
274,09-01-1990
275,09-02-1990
276,09-03-1990
277,09-04-1990
278,09-05-1990
279,09-06-1990
280,09-07-1990
281,09-08-1990
282,09-09-1990
283,09-10-1990
284,09-11-1990
285,09-12-1990
286,09-13-1990
287,09-14-1990
288,09-15-1990
289,09-16-1990
290,09-17-1990
291,09-18-1990
292,09-19-1990
293,09-20-1990
294,09-21-1990
295,09-22-1990
296,09-23-1990
297,09-24-1990
298,09-25-1990
299,09-26-1990
300,09-27-1990
301,09-28-1990
302,09-29-1990
303,09-30-1990
304,10-01-1990
305,10-02-1990
306,10-03-1990
307,10-04-1990
308,10-05-1990
309,10-06-1990
310,10-07-1990
311,10-08-1990
312,10-09-1990
313,10-10-1990
314,10-11-1990
315,04-29-1989
316,04-30-1989
317,05-01-1989
318,05-02-1989
319,05-03-1989
320,05-04-1989
321,05-05-1989
322,05-06-1989
323,05-07-1989
324,05-08-1989
325,05-09-1989
326,05-10-1989
327,05-11-1989
328,05-12-1989
329,05-13-1989
330,05-14-1989
331,05-15-1989
332,05-16-1989
333,05-17-1989
334,05-18-1989
335,05-19-1989
336,05-20-1989
337,05-21-1989
338,05-22-1989
339,05-23-1989
340,03-27-1989
341,03-28-1989
342,03-29-1989
343,03-30-1989
344,03-31-1989
345,04-01-1989
346,04-02-1989
347,04-03-1989
348,04-04-1989
349,04-05-1989
350,04-06-1989
351,04-07-1989
352,04-08-1989
353,04-09-1989
354,04-10-1989
355,04-11-1989
356,04-12-1989
357,04-13-1989
358,04-14-1989
359,04-15-1989
360,04-16-1989
361,04-17-1989
362,04-18-1989
363,04-19-1989
364,04-20-1989
365,04-21-1989
366,04-22-1989
367,04-23-1989
368,04-24-1989
369,04-25-1989
370,04-26-1989
371,04-27-1989
372,04-28-1989
373,04-22-1990
374,04-23-1990
375,04-24-1990
376,04-25-1990
377,04-26-1990
378,04-27-1990
379,04-28-1990
380,04-29-1990
381,04-30-1990
382,05-01-1990
383,05-02-1990
384,05-03-1990
385,05-04-1990
386,05-05-1990
387,05-06-1990
388,05-07-1990
389,05-08-1990
390,05-09-1990
391,05-10-1990
392,05-11-1990
393,05-12-1990
394,05-13-1990
395,05-14-1990
396,05-15-1990
397,05-16-1990
398,05-18-1990
399,05-17-1990
400,05-19-1990
401,02-18-1989
402,02-19-1989
403,02-20-1989
404,02-21-1989
405,02-22-1989
406,02-23-1989
407,02-24-1989
408,02-25-1989
409,02-26-1989
410,02-27-1989
411,02-28-1989
412,03-01-1989
413,03-02-1989
414,03-03-1989
415,03-04-1989
416,03-05-1989
417,03-06-1989
418,03-07-1989
419,03-08-1989
420,03-09-1989
421,03-10-1989
422,03-11-1989
423,03-12-1989
424,03-13-1989
425,03-14-1989
426,03-15-1989
427,03-16-1989
428,03-17-1989
429,03-18-1989
430,03-19-1989
431,03-20-1989
432,03-21-1989
433,03-22-1989
434,03-23-1989
435,07-13-1990
436,07-16-1990
437,07-17-1990
438,07-18-1990
439,07-19-1990
440,07-20-1990
441,03-11-1991
442,03-12-1991
443,03-13-1991
444,03-14-1991
445,03-15-1991
446,03-16-1991
447,03-17-1991
448,03-18-1991
449,03-19-1991
450,03-20-1991
451,03-21-1991
452,03-22-1991
453,03-23-1991
454,03-24-1991
455,03-25-1991
456,03-26-1991
457,03-27-1991
458,03-28-1991
459,03-29-1991
460,03-30-1991
461,04-01-1991
462,04-02-1991
463,04-03-1991
464,04-04-1991
465,04-05-1991
466,04-08-1991
467,04-09-1991
468,04-10-1991
469,04-11-1991
470,04-12-1991
471,04-13-1991
472,04-14-1991
473,04-15-1991
474,04-16-1991
475,04-17-1991
476,04-18-1991
477,04-19-1991
478,04-20-1991
479,07-15-1990
480,06-31-1991
481,09-04-1991
482,09-05-1991
483,09-06-1991
484,09-07-1991
485,09-08-1991
486,09-09-1991
487,09-10-1991
488,09-11-1991
489,09-12-1991
490,09-13-1991
491,09-14-1991
492,09-15-1991
493,09-16-1991
494,09-17-1991
495,09-18-1991
496,09-19-1991
497,09-20-1991
498,09-21-1991
499,09-22-1991
500,09-23-1991
501,09-03-1989
502,09-04-1989
503,09-05-1989
504,09-06-1989
505,09-07-1989
506,09-08-1989
507,09-09-1989
508,09-10-1989
509,09-11-1989
510,09-12-1989
511,09-13-1989
512,09-14-1989
513,09-15-1989
514,09-16-1989
515,09-17-1989
516,09-18-1989
517,09-19-1989
518,09-20-1989
519,09-21-1989
520,09-22-1989
521,09-23-1989
522,09-25-1989
523,09-24-1989
524,09-26-1989
525,09-27-1989
526,09-28-1989
527,09-29-1989
528,09-30-1989
529,10-01-1989
530,10-02-1989
531,10-03-1989
532,10-04-1989
533,10-05-1989
534,10-06-1989
535,10-08-1989
536,10-09-1989
537,03-31-1991
538,04-06-1991
539,04-07-1991
540,07-13-1988
541,07-14-1988
542,07-15-1988
543,07-16-1988
544,07-17-1988
545,07-18-1988
546,07-19-1988
547,07-20-1988
548,07-22-1988
549,07-24-1988
550,07-26-1988
551,07-28-1988
552,07-30-1988
553,08-02-1988
554,08-04-1988
555,08-05-1988
556,08-08-1988
557,08-10-1988
558,08-11-1988
559,08-14-1988
560,08-16-1988
561,08-18-1988
562,08-20-1988
563,08-22-1988
564,08-24-1988
565,08-26-1988
566,08-28-1988
567,08-30-1988
568,09-01-1988
569,09-04-1988
570,09-06-1988
571,09-08-1988
572,09-14-1988
573,09-16-1988
574,09-18-1988
575,09-20-1988
576,09-22-1988
577,09-24-1988
578,09-26-1988
579,09-28-1988
580,09-30-1988
581,10-02-1988
582,10-03-1988
583,10-04-1988
584,10-06-1988
585,10-08-1988
586,10-09-1988
587,10-10-1988
588,10-11-1988
589,10-12-1988
590,10-13-1988
591,10-14-1988
592,10-15-1988
593,10-16-1988
594,10-17-1988
595,10-18-1988
596,10-19-1988
597,10-20-1988
598,10-21-1988
599,10-27-1988
600,10-31-1988
601,11-04-1988
602,12-02-1988
603,12-12-1988
604,12-30-1988
605,01-02-1989
606,01-03-1989
607,01-05-1989
608,01-06-1989
609,01-11-1989
610,01-15-1989
611,01-17-1989
612,01-19-1989
613,01-20-1989
614,01-23-1989
615,01-24-1989
616,01-25-1989
617,01-26-1989
618,01-27-1989
619,01-29-1989
620,02-01-1989
621,02-13-1989
622,05-29-1989
623,05-30-1989
624,05-31-1989
625,06-01-1989
626,06-03-1989
627,06-04-1989
628,06-07-1989
629,06-08-1989
630,06-09-1989
631,06-10-1989
632,06-12-1989
633,06-14-1989
634,06-15-1989
635,06-26-1989
636,06-27-1989
637,06-28-1989
638,06-29-1989
639,06-30-1989
640,07-01-1989
641,07-02-1989
642,07-03-1989
643,07-04-1989
644,07-05-1989
645,07-06-1989
646,07-07-1989
647,07-08-1989
648,07-09-1989
649,07-10-1989
650,07-11-1989
651,07-12-1989
652,07-13-1989
653,07-14-1989
654,07-15-1989
655,07-16-1989
656,07-17-1989
657,07-18-1989
658,07-19-1989
659,07-20-1989
660,07-21-1989
661,07-22-1989
662,07-23-1989
663,07-24-1989
664,07-25-1989
665,07-26-1989
666,07-27-1989
667,07-28-1989
668,07-29-1989
669,07-30-1989
670,08-06-1989
671,08-09-1989
672,08-10-1989
673,08-14-1989
674,08-15-1989
675,08-16-1989
676,08-17-1989
677,08-18-1989
678,08-19-1989
679,08-20-1989
680,08-22-1989
681,08-23-1989
682,08-24-1989
683,08-25-1989
684,08-26-1989
685,08-27-1989
686,10-07-1989
687,
688,01-14-1990
689,01-15-1990
690,01-17-1990
691,01-19-1990
692,01-20-1990
693,01-21-1990
694,01-22-1990
695,01-23-1990
696,01-24-1990
697,01-25-1990
698,01-26-1990
699,01-27-1990
700,01-28-1990
701,01-29-1990
702,01-30-1990
703,01-31-1990
704,02-01-1990
705,02-02-1990
706,02-03-1990
707,02-04-1990
708,02-05-1990
709,02-06-1990
710,02-07-1990
711,02-08-1990
712,02-09-1990
713,02-10-1990
714,02-11-1990
715,02-12-1990
716,02-13-1990
717,02-14-1990
718,02-15-1990
719,02-16-1990
720,02-19-1990
721,02-20-1990
722,02-23-1990
723,02-24-1990
724,02-25-1990
725,02-26-1990
726,02-28-1990
727,03-01-1990
728,03-04-1990
729,03-05-1990
730,03-06-1990
731,03-07-1990
732,03-08-1990
733,03-12-1990
734,03-13-1990
735,03-14-1990
736,03-15-1990
737,03-20-1990
738,03-21-1990
739,03-22-1990
740,03-23-1990
741,03-24-1990
742,03-25-1990
743,03-26-1990
744,03-27-1990
745,03-28-1990
746,04-05-1990
747,04-06-1990
748,04-07-1990
749,04-08-1990
750,04-09-1990
751,04-10-1990
752,04-11-1990
753,04-12-1990
754,04-13-1990
755,04-14-1990
756,04-15-1990
757,04-16-1990
758,04-17-1990
759,04-18-1990
760,04-19-1990
761,04-20-1990
762,04-21-1990
763,05-20-1990
764,05-21-1990
765,05-22-1990
766,05-23-1990
767,05-24-1990
768,05-25-1990
769,05-26-1990
770,05-27-1990
771,05-28-1990
772,05-29-1990
773,05-30-1990
774,05-31-1990
775,06-01-1990
776,06-02-1990
777,06-03-1990
778,06-04-1990
779,06-05-1990
780,06-06-1990
781,06-07-1990
782,06-08-1990
783,06-09-1990
784,06-10-1990
785,06-11-1990
786,06-12-1990
787,06-13-1990
788,06-14-1990
789,06-15-1990
790,06-16-1990
791,06-17-1990
792,06-18-1990
793,06-19-1990
794,06-20-1990
795,06-21-1990
796,07-01-1990
797,07-02-1990
798,07-03-1990
799,07-04-1990
800,07-05-1990
801,07-06-1990
802,07-07-1990
803,07-08-1990
804,07-09-1990
805,07-10-1990
806,07-11-1990
807,07-12-1990
808,07-14-1990
809,10-31-1990
810,11-08-1990
811,11-09-1990
812,11-15-1990
813,11-16-1990
814,11-17-1990
815,11-18-1990
816,11-19-1990
817,11-22-1990
818,11-23-1990
819,11-24-1990
820,11-25-1990
821,11-26-1990
822,11-27-1990
823,11-28-1990
824,11-29-1990
825,11-30-1990
826,12-01-1990
827,12-02-1990
828,12-03-1990
829,12-04-1990
830,12-05-1990
831,12-06-1990
832,12-07-1990
833,12-08-1990
834,12-09-1990
835,12-10-1990
836,12-11-1990
837,12-12-1990
838,12-13-1990
839,12-14-1990
840,12-15-1990
841,12-16-1990
842,12-18-1990
843,12-19-1990
844,12-20-1990
845,12-21-1990
846,12-22-1990
847,12-23-1990
848,12-24-1990
849,12-26-1990
850,12-27-1990
851,12-28-1990
852,12-29-1990
853,12-30-1990
854,12-31-1990
855,01-01-1991
856,01-02-1991
857,01-03-1991
858,01-04-1991
859,01-05-1991
860,01-06-1991
861,01-07-1991
862,01-08-1991
863,01-09-1991
864,01-10-1991
865,01-11-1991
866,01-12-1991
867,01-13-1991
868,01-14-1991
869,01-15-1991
870,01-16-1991
871,01-17-1991
872,01-18-1991
873,01-19-1991
874,01-20-1991
875,01-21-1991
876,01-22-1991
877,01-23-1991
878,01-24-1991
879,01-25-1991
880,01-26-1991
881,01-27-1991
882,01-28-1991
883,01-29-1991
884,01-30-1991
885,01-31-1991
886,02-01-1991
887,02-02-1991
888,02-03-1991
889,02-04-1991
890,02-05-1991
891,02-06-1991
892,02-07-1991
893,02-08-1991
894,02-09-1991
895,02-10-1991
896,02-11-1991
897,02-12-1991
898,02-13-1991
899,02-14-1991
900,02-15-1991
901,02-16-1991
902,02-17-1991
903,02-18-1991
904,02-19-1991
905,02-20-1991
906,02-21-1991
907,02-22-1991
908,02-23-1991
909,02-25-1991
910,02-26-1991
911,02-27-1991
912,03-01-1991
913,03-02-1991
914,03-03-1991
915,03-04-1991
916,03-05-1991
917,03-06-1991
918,03-07-1991
919,03-08-1991
920,03-09-1991
921,03-10-1991
922,12-17-1990
923,12-25-1990
924,10-12-1990
925,10-13-1990
926,10-14-1990
927,10-15-1990
928,10-16-1990
929,10-17-1990
930,10-18-1990
931,10-19-1990
932,10-20-1990
933,10-21-1990
934,10-22-1990
935,10-23-1990
936,10-24-1990
937,10-25-1990
938,10-26-1990
939,10-27-1990
940,10-28-1990
941,10-29-1990
942,10-30-1990
943,11-01-1990
944,11-02-1990
945,11-03-1990
946,11-04-1990
947,11-05-1990
948,11-06-1990
949,11-07-1990
950,02-03-1989
951,02-04-1989
952,02-05-1989
953,02-06-1989
954,02-07-1989
955,02-08-1989
956,02-09-1989
957,02-10-1989
958,02-11-1989
959,02-12-1989
960,02-14-1989
961,02-15-1989
962,02-16-1989
963,02-17-1989
964,03-24-1989
965,03-25-1989
966,03-26-1989
967,05-24-1989
968,05-25-1989
969,05-26-1989
970,05-27-1989
971,05-28-1989
972,06-02-1989
973,06-05-1989
974,06-06-1989
975,06-25-1990
976,06-26-1990
977,06-27-1990
978,06-28-1990
979,06-29-1990
980,06-11-1989
981,06-13-1989
982,06-16-1989
983,06-17-1989
984,06-18-1989
985,06-19-1989
986,06-20-1989
987,06-21-1989
988,06-22-1989
989,06-23-1989
990,06-24-1989
991,06-25-1989
992,07-31-1989
993,08-01-1989
994,08-02-1989
995,08-03-1989
996,08-04-1989
997,08-05-1989
998,08-07-1989
999,08-08-1989
1000,08-11-1989
1001,08-12-1989
1002,08-13-1989
1003,08-21-1989
1004,08-28-1989
1005,08-29-1989
1006,08-30-1989
1007,08-31-1989
1008,02-24-1991
1009,02-28-1991
1010,03-27-1988
1011,03-28-1988
1012,03-31-1988
1013,04-02-1988
1014,04-04-1988
1015,04-06-1988
1016,04-08-1988
1017,04-09-1988
1018,04-11-1988
1019,04-14-1988
1020,04-16-1988
1021,04-18-1988
1022,04-20-1988
1023,04-22-1988
1024,04-23-1988
1025,04-25-1988
1026,04-27-1988
1027,04-29-1988
1028,05-01-1988
1029,05-03-1988
1030,05-05-1988
1031,05-07-1988
1032,05-09-1988
1033,05-11-1988
1034,05-13-1988
1035,05-15-1988
1036,05-17-1988
1037,05-19-1988
1038,05-26-1988
1039,05-27-1988
1040,05-28-1988
1041,05-29-1988
1042,05-30-1988
1043,05-31-1988
1044,06-01-1988
1045,06-02-1988
1046,06-03-1988
1047,06-04-1988
1048,06-05-1988
1049,06-06-1988
1050,06-07-1988
1051,06-08-1988
1052,06-09-1988
1053,06-10-1988
1054,06-11-1988
1055,06-12-1988
1056,06-13-1988
1057,06-14-1988
1058,06-15-1988
1059,06-16-1988
1060,06-17-1988
1061,06-18-1988
1062,06-19-1988
1063,06-20-1988
1064,06-21-1988
1065,06-22-1988
1066,06-23-1988
1067,06-24-1988
1068,06-25-1988
1069,06-26-1988
1070,06-27-1988
1071,06-28-1988
1072,06-29-1988
1073,06-30-1988
1074,07-01-1988
1075,07-02-1988
1076,07-03-1988
1077,07-04-1988
1078,07-05-1988
1079,07-06-1988
1080,07-07-1988
1081,07-08-1988
1082,07-09-1988
1083,07-10-1988
1084,07-11-1988
1085,07-12-1988
1086,07-21-1988
1087,07-23-1988
1088,07-25-1988
1089,07-27-1988
1090,07-29-1988
1091,07-31-1988
1092,08-06-1988
1093,08-12-1988
1094,08-15-1988
1095,08-17-1988
1096,08-19-1988
1097,09-03-1988
1098,09-05-1988
1099,09-07-1988
1100,09-09-1988
1101,09-11-1988
1102,09-13-1988
1103,09-15-1988
1104,09-17-1988
1105,09-19-1988
1106,09-21-1988
1107,09-23-1988
1108,09-25-1988
1109,09-27-1988
1110,10-01-1988
1111,10-05-1988
1112,10-23-1988
1113,10-25-1988
1114,10-29-1988
1115,11-02-1988
1116,11-06-1988
1117,11-08-1988
1118,11-10-1988
1119,11-12-1988
1120,11-14-1988
1121,11-16-1988
1122,11-18-1988
1123,11-20-1988
1124,11-22-1988
1125,11-24-1988
1126,11-26-1988
1127,11-28-1988
1128,11-30-1988
1129,12-05-1988
1130,12-07-1988
1131,12-09-1988
1132,12-14-1988
1133,12-16-1988
1134,12-18-1988
1135,12-20-1988
1136,12-22-1988
1137,12-24-1988
1138,12-26-1988
1139,12-28-1988
1140,01-04-1989
1141,01-08-1989
